,Partida,Rodada,Etapa,Emp,Agro,Sentimento
218,7,2,1,EmpSem,AgAT3,alegria
219,7,3,1,EmpSem,AgCD1,tristeza
220,7,3,1,EmpSem,AgCD2,alegria
221,7,3,1,EmpSem,AgCD3,alegria
222,7,3,1,EmpSem,AgAT1,alegria
223,7,3,1,EmpSem,AgAT2,alegria
224,7,3,1,EmpSem,AgAT3,raiva
225,7,4,1,EmpSem,AgCD1,tristeza
226,7,4,1,EmpSem,AgCD2,alegria
227,7,4,1,EmpSem,AgCD3,alegria
228,7,4,1,EmpSem,AgAT1,alegria
229,7,4,1,EmpSem,AgAT2,alegria
230,7,4,1,EmpSem,AgAT3,alegria
231,7,5,1,EmpSem,AgCD1,alegria
232,7,5,1,EmpSem,AgCD2,alegria
233,7,5,1,EmpSem,AgCD3,alegria
234,7,5,1,EmpSem,AgAT1,alegria
235,7,5,1,EmpSem,AgAT2,alegria
236,7,5,1,EmpSem,AgAT3,alegria
